Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
₹2,"₹2,166","₹38,980",18 TB,,"Internal 3.5""",HDD,New,"Seagate Exos X18 18TB Enterprise HDD - CMR 3.5"" Hyperscale SATA 6Gb/s 7200RPM 512e 4Kn Fast Format Low Latency with Improved Caching (ST18000NM000J)","<a href=""https://www.amazon.in/dp/B08JV6PP9B"">Seagate Exos X18 18TB Enterprise HDD - CMR 3.5"" Hyperscale SATA 6Gb/s 7200RPM 512e 4Kn Fast Format Low Latency with Improved Caching (ST18000NM000J)</a>"
₹2,"₹2,187","₹34,999",16 TB,3 years,"External 3.5""",HDD,New,"Seagate Expansion 16TB Desktop External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKP16000400), Black","<a href=""https://www.amazon.in/dp/B092R4955J"">Seagate Expansion 16TB Desktop External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKP16000400), Black</a>"
₹2,"₹2,187","₹34,999",16 TB,3 years,"External 3.5""",HDD,New,"Western Digital WD 16TB My Book Desktop External Hard Disk Drive-3.5Inch, USB 3.0 with Automatic Backup,256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows&Mac, Portable HDD","<a href=""https://www.amazon.in/dp/B08SMCPP58"">Western Digital WD 16TB My Book Desktop External Hard Disk Drive-3.5Inch, USB 3.0 with Automatic Backup,256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows&Mac, Portable HDD</a>"
₹2,"₹2,200","₹2,200",1 TB,2 years,"Internal 3.5""",HDD,Used,"GEONIX Refurbished 1 TB SATA Hard Drive for Desktop–8.89 cm(3.5 Inch), 6 Gb/s ‎5400 RPM High Speed Data Transfer, Heavy Duty Hard Disk with 64 MB Cache for Computer PC, 2 Years Warranty","<a href=""https://www.amazon.in/dp/B0D9W42B3S"">GEONIX Refurbished 1 TB SATA Hard Drive for Desktop–8.89 cm(3.5 Inch), 6 Gb/s ‎5400 RPM High Speed Data Transfer, Heavy Duty Hard Disk with 64 MB Cache for Computer PC, 2 Years Warranty</a>"
₹2,"₹2,219","₹22,191",10 TB,5 years,"Internal 3.5""",HDD,New,"Western Digital 10TB Ultrastar DC HC510 SATA HDD - 7200 RPM Class, 256MB Cache, SATA 6 Gb/s, 3.5"" (HUH721010ALE604)","<a href=""https://www.amazon.in/dp/B077NDRQLW"">Western Digital 10TB Ultrastar DC HC510 SATA HDD - 7200 RPM Class, 256MB Cache, SATA 6 Gb/s, 3.5"" (HUH721010ALE604)</a>"
₹2,"₹2,222","₹39,999",18 TB,3 years,"External 3.5""",HDD,New,"Seagate Expansion 18TB Desktop External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKP18000400)","<a href=""https://www.amazon.in/dp/B093BTVWPH"">Seagate Expansion 18TB Desktop External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKP18000400)</a>"
₹2,"₹2,250","₹17,999",8 TB,3 years,"External 3.5""",HDD,New,"Seagate Expansion 8TB Desktop External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKP8000400), Black","<a href=""https://www.amazon.in/dp/B092R5KTT7"">Seagate Expansion 8TB Desktop External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKP8000400), Black</a>"
₹2,"₹2,250","₹44,999",20 TB,3 years,"External 3.5""",HDD,New,"Seagate One Touch Hub 20TB Desktop External HDD USB-C & USB 3.0 Port, with 3 yr Data Recovery Services, for Computer PC Laptop Mac, 6 Month Mylio Create and Dropbox Plan (STLC20000400), Black","<a href=""https://www.amazon.in/dp/B09V5NWS1V"">Seagate One Touch Hub 20TB Desktop External HDD USB-C & USB 3.0 Port, with 3 yr Data Recovery Services, for Computer PC Laptop Mac, 6 Month Mylio Create and Dropbox Plan (STLC20000400), Black</a>"
₹2,"₹2,275","₹4,550",2 TB,2 years,"Internal 3.5""",HDD,New,"Aver-tek 2TB Internal Hard Drive for Desktop PC,CCTV DVR/NVR – 7200 RPM Class, SATA 6 Gb/s, 256 MB Cache, 3.5″ HDD","<a href=""https://www.amazon.in/dp/B0D9JRPT6C"">Aver-tek 2TB Internal Hard Drive for Desktop PC,CCTV DVR/NVR – 7200 RPM Class, SATA 6 Gb/s, 256 MB Cache, 3.5″ HDD</a>"
₹2,"₹2,286","₹36,569",16 TB,,"Internal 3.5""",HDD,New,Western Digital WD Ultrastar DC HC550 16TB SATA 6Gb/s 7200RPM 3.5-Inch Data Center HDD (WUH721816ALE6L4),"<a href=""https://www.amazon.in/dp/B08DHHMZBF"">Western Digital WD Ultrastar DC HC550 16TB SATA 6Gb/s 7200RPM 3.5-Inch Data Center HDD (WUH721816ALE6L4)</a>"
