Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
£0.009,£8.871,£266,6 TB x5,,Tape,LTO-7,New,OT LTO-7 DATA CARTRIDGE 5PK W/BC WITH LIMITED LIFETIME WARRA,"<a href=""https://www.amazon.co.uk/dp/B0BLF3DPLX"">OT LTO-7 DATA CARTRIDGE 5PK W/BC WITH LIMITED LIFETIME WARRA</a>"
£0.009,£9.375,£56,6 TB,,Tape,LTO-7,New,38L7302 - IBM LTO ULTRIUM 7 6TB/15TB,"<a href=""https://www.amazon.co.uk/dp/B01DP1ZOMO"">38L7302 - IBM LTO ULTRIUM 7 6TB/15TB</a>"
£0.010,£9.990,£100,10 TB,1 years,"Internal 3.5""",HDD,Used,"Seagate Enterprise Capacity v6 10TB Internal Hard Drive ST10000NM0046 SATA 3.5"" HDD 256MB Cache","<a href=""https://www.amazon.co.uk/dp/B0CW6K8DZ3"">Seagate Enterprise Capacity v6 10TB Internal Hard Drive ST10000NM0046 SATA 3.5"" HDD 256MB Cache</a>"
£0.011,£10.91,£65,6 TB,3 years,Tape,LTO-7,New,Quantum Data Cartridge LTO7 Media Ultrium 6TB/15TB,"<a href=""https://www.amazon.co.uk/dp/B018J4H8EO"">Quantum Data Cartridge LTO7 Media Ultrium 6TB/15TB</a>"
£0.012,£11.70,£94,8 TB,2 years,"Internal 3.5""",HDD,Used,"Seagate BarraCuda, 8 TB, Internal Hard Drive, SATA 6 Gbit/s, 3.5"", 5400 RPM, 256 MB Cache for Desktop PC (ST8000DM004)","<a href=""https://www.amazon.co.uk/dp/B075WYBQXJ"">Seagate BarraCuda, 8 TB, Internal Hard Drive, SATA 6 Gbit/s, 3.5"", 5400 RPM, 256 MB Cache for Desktop PC (ST8000DM004)</a>","<a href=""https://www.amazon.co.uk/dp/B075WYBQXJ"">Seagate BarraCuda, 8 TB, Internal Hard Drive, SATA 6 Gbit/s, 3.5"", 5400 RPM, 256 MB Cache for Desktop PC (ST8000DM004)</a>"
£0.012,£12.40,£31,2.5 TB,,Tape,LTO-6,New,"Aruba C7976A Hewlett Packard Enterprise company HP LTO6 6.25TB MP RW Data Cartridge,Purple","<a href=""https://www.amazon.co.uk/dp/B00AHQUV3S"">Aruba C7976A Hewlett Packard Enterprise company HP LTO6 6.25TB MP RW Data Cartridge,Purple</a>"
£0.012,£12.40,£31,2.5 TB,3 years,Tape,LTO-6,New,HP Ultrium LTO-6 6.25TB Data Cartridge,"<a href=""https://www.amazon.co.uk/dp/B00BRF330Q"">HP Ultrium LTO-6 6.25TB Data Cartridge</a>"
£0.012,£12.50,£200,16 TB,,"Internal 3.5""",HDD,Used,"Seagate 16TB ST16000NM001G Exos X16 SATA 6Gb/s 7.2K RPM 512e/4Kn 256Mb, OEM, Mechanical Hard Disk","<a href=""https://www.amazon.co.uk/dp/B07XM9RM95"">Seagate 16TB ST16000NM001G Exos X16 SATA 6Gb/s 7.2K RPM 512e/4Kn 256Mb, OEM, Mechanical Hard Disk</a>","<a href=""https://www.amazon.co.uk/dp/B07XM9RM95"">Seagate 16TB ST16000NM001G Exos X16 SATA 6Gb/s 7.2K RPM 512e/4Kn 256Mb, OEM, Mechanical Hard Disk</a>"
£0.013,£12.50,£5,400 GB,,Tape,LTO-3,New,Maxell 22919500 LTO-3 Ultrium 400/800GB Tape Cartridge - Single,"<a href=""https://www.amazon.co.uk/dp/B000E9X5DQ"">Maxell 22919500 LTO-3 Ultrium 400/800GB Tape Cartridge - Single</a>"
£0.013,£13.13,£788,6 TB x10,,Tape,LTO-7,New,10-Pack HPE LTO 7 Ultrium C7977A 6TB/15TB Data Cartridge,"<a href=""https://www.amazon.co.uk/dp/B07PK4GP8M"">10-Pack HPE LTO 7 Ultrium C7977A 6TB/15TB Data Cartridge</a>"
£0.013,£13.17,£211,16 TB,,"Internal 3.5""",HDD,New,"Seagate 16TB ST16000NM001G Exos X16 SATA 6Gb/s 7.2K RPM 512e/4Kn 256Mb, OEM, Mechanical Hard Disk","<a href=""https://www.amazon.co.uk/dp/B07XM9RM95"">Seagate 16TB ST16000NM001G Exos X16 SATA 6Gb/s 7.2K RPM 512e/4Kn 256Mb, OEM, Mechanical Hard Disk</a>","<a href=""https://www.amazon.co.uk/dp/B07XM9RM95"">Seagate 16TB ST16000NM001G Exos X16 SATA 6Gb/s 7.2K RPM 512e/4Kn 256Mb, OEM, Mechanical Hard Disk</a>"
£0.013,£13.36,£107,8 TB,1 year,"Internal 3.5""",HDD,Used,"Seagate Barracuda SATA 6Gb/s 256MB Cache 3.5"" Internal Hard Drive (ST8000DM004) (Renewed) 8TB Mechanical Hard Drive","<a href=""https://www.amazon.co.uk/dp/B07JKJ4J93"">Seagate Barracuda SATA 6Gb/s 256MB Cache 3.5"" Internal Hard Drive (ST8000DM004) (Renewed) 8TB Mechanical Hard Drive</a>"
£0.014,£13.87,£194,14 TB,,"Internal 3.5""",HDD,Used,"Seagate IronWolf Pro 14 TB NAS RAID Internal Hard Drive - 7,200 RPM SATA 6 Gb/s 3.5-inch (ST14000NE0008)","<a href=""https://www.amazon.co.uk/dp/B07H7CKYGT"">Seagate IronWolf Pro 14 TB NAS RAID Internal Hard Drive - 7,200 RPM SATA 6 Gb/s 3.5-inch (ST14000NE0008)</a>","<a href=""https://www.amazon.co.uk/dp/B07H7CKYGT"">Seagate IronWolf Pro 14 TB NAS RAID Internal Hard Drive - 7,200 RPM SATA 6 Gb/s 3.5-inch (ST14000NE0008)</a>"
£0.014,£14.06,£225,16 TB,5 years,"Internal 3.5""",HDD,Used,"Toshiba 16TB Enterprise Internal Hard Drive – MG Series 3.5' SATA HDD Mainstream server and storage, 24/7 Reliable Operation, Hyperscale and cloud storage (MG08ACA16TE)","<a href=""https://www.amazon.co.uk/dp/B0832BL1HC"">Toshiba 16TB Enterprise Internal Hard Drive – MG Series 3.5' SATA HDD Mainstream server and storage, 24/7 Reliable Operation, Hyperscale and cloud storage (MG08ACA16TE)</a>","<a href=""https://www.amazon.co.uk/dp/B0832BL1HC"">Toshiba 16TB Enterprise Internal Hard Drive – MG Series 3.5' SATA HDD Mainstream server and storage, 24/7 Reliable Operation, Hyperscale and cloud storage (MG08ACA16TE)</a>"
£0.014,£14.17,£85,6 TB,2 years,"Internal 3.5""",HDD,Used,Seagate BarraCuda 6 TB Internal Hard Drive HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache for Computer Desktop PC (ST6000DM003),"<a href=""https://www.amazon.co.uk/dp/B075WX2TKM"">Seagate BarraCuda 6 TB Internal Hard Drive HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache for Computer Desktop PC (ST6000DM003)</a>","<a href=""https://www.amazon.co.uk/dp/B075WX2TKM"">Seagate BarraCuda 6 TB Internal Hard Drive HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache for Computer Desktop PC (ST6000DM003)</a>"
