Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
£0.020,£19.80,£79,4 TB,3 years,"External 3.5""",HDD,Used,"WD 4TB My Passport for Mac portable external storage, USB 3.0, Mac Compatible external hard drive, software for device management, backup and password protection, Time Machine Ready, Midnight Blue","<a href=""https://www.amazon.co.uk/dp/B07VTNW4ZQ"">WD 4TB My Passport for Mac portable external storage, USB 3.0, Mac Compatible external hard drive, software for device management, backup and password protection, Time Machine Ready, Midnight Blue</a>","<a href=""https://www.amazon.co.uk/dp/B07VTNW4ZQ"">WD 4TB My Passport for Mac portable external storage, USB 3.0, Mac Compatible external hard drive, software for device management, backup and password protection, Time Machine Ready, Midnight Blue</a>"
£0.020,£19.80,£119,6 TB,3 years,"Internal 3.5""",HDD,New,"WD Purple 6TB Surveillance 3.5"" Internal Hard Drive, AllFrame Technology, 180BT/yr, 256MB Cache, 3 Year Warranty","<a href=""https://www.amazon.co.uk/dp/B0C4WTF5N2"">WD Purple 6TB Surveillance 3.5"" Internal Hard Drive, AllFrame Technology, 180BT/yr, 256MB Cache, 3 Year Warranty</a>","<a href=""https://www.amazon.co.uk/dp/B0C4WTF5N2"">WD Purple 6TB Surveillance 3.5"" Internal Hard Drive, AllFrame Technology, 180BT/yr, 256MB Cache, 3 Year Warranty</a>"
£0.020,£19.86,£79,4 TB,3 years,"Internal 3.5""",HDD,New,"Seagate Skyhawk, 4TB, Video Internal Hard Drive, 3.5"", SATA, 6Gb/s, 64MB Cache, for DVR/NVR Security Camera System, with Drive Health Management, 3 year Rescue Services, FFP (ST4000VXZ16)","<a href=""https://www.amazon.co.uk/dp/B0B1JPYH2Z"">Seagate Skyhawk, 4TB, Video Internal Hard Drive, 3.5"", SATA, 6Gb/s, 64MB Cache, for DVR/NVR Security Camera System, with Drive Health Management, 3 year Rescue Services, FFP (ST4000VXZ16)</a>","<a href=""https://www.amazon.co.uk/dp/B0B1JPYH2Z"">Seagate Skyhawk, 4TB, Video Internal Hard Drive, 3.5"", SATA, 6Gb/s, 64MB Cache, for DVR/NVR Security Camera System, with Drive Health Management, 3 year Rescue Services, FFP (ST4000VXZ16)</a>"
£0.020,£19.88,£119,6 TB,3 years,"Internal 3.5""",HDD,Used,"WD Purple 6TB Surveillance 3.5"" Internal Hard Drive, AllFrame Technology, 180BT/yr, 256MB Cache, 3 Year Warranty","<a href=""https://www.amazon.co.uk/dp/B0C4WTF5N2"">WD Purple 6TB Surveillance 3.5"" Internal Hard Drive, AllFrame Technology, 180BT/yr, 256MB Cache, 3 Year Warranty</a>","<a href=""https://www.amazon.co.uk/dp/B0C4WTF5N2"">WD Purple 6TB Surveillance 3.5"" Internal Hard Drive, AllFrame Technology, 180BT/yr, 256MB Cache, 3 Year Warranty</a>"
£0.020,£19.90,£80,4 TB,2 years,"Internal 3.5""",HDD,New,"Seagate Skyhawk 4 TB, Video Internal Hard HDD – 3.5"", SATA 6Gb/s, 256MB Cache, for DVR NVR Security Camera System, with in-house Rescue Services (ST4000VX016)","<a href=""https://www.amazon.co.uk/dp/B09YNN2PKG"">Seagate Skyhawk 4 TB, Video Internal Hard HDD – 3.5"", SATA 6Gb/s, 256MB Cache, for DVR NVR Security Camera System, with in-house Rescue Services (ST4000VX016)</a>","<a href=""https://www.amazon.co.uk/dp/B09YNN2PKG"">Seagate Skyhawk 4 TB, Video Internal Hard HDD – 3.5"", SATA 6Gb/s, 256MB Cache, for DVR NVR Security Camera System, with in-house Rescue Services (ST4000VX016)</a>"
£0.020,£19.90,£20,1 TB,,"Internal 3.5""",HDD,New,Western Digital WD10EURX AV-GP 1TB Internal Hard Drive 8.9 cm (3.5 Inch) SATA 6 Gb/s 64 MB,"<a href=""https://www.amazon.co.uk/dp/B007X15MNO"">Western Digital WD10EURX AV-GP 1TB Internal Hard Drive 8.9 cm (3.5 Inch) SATA 6 Gb/s 64 MB</a>"
£0.020,£19.91,£159,8 TB,3 years,"External 3.5""",HDD,Used,"Seagate Game Drive Hub, 8TB, External Hard Drive Desktop, USB 3.2 Gen 1, Dual USB-C and USB-A ports, Xbox Certified, with RGB LED lighting, 2 year Rescue Services (STKW8000402)","<a href=""https://www.amazon.co.uk/dp/B093WXL429"">Seagate Game Drive Hub, 8TB, External Hard Drive Desktop, USB 3.2 Gen 1, Dual USB-C and USB-A ports, Xbox Certified, with RGB LED lighting, 2 year Rescue Services (STKW8000402)</a>","<a href=""https://www.amazon.co.uk/dp/B093WXL429"">Seagate Game Drive Hub, 8TB, External Hard Drive Desktop, USB 3.2 Gen 1, Dual USB-C and USB-A ports, Xbox Certified, with RGB LED lighting, 2 year Rescue Services (STKW8000402)</a>"
£0.020,£19.93,£30,1.5 TB,2 years,Tape,LTO-5,New,"HP C7975A LTO Ultrium-5 1.5TB/3TB Tape , Blue","<a href=""https://www.amazon.co.uk/dp/B003F8MT5I"">HP C7975A LTO Ultrium-5 1.5TB/3TB Tape , Blue</a>"
£0.020,£20.04,£100,5 TB,3 years,"External 3.5""",HDD,Used,"WD_BLACK P10 5TB Game Drive for Xbox, Xbox storage expansion, Portable Xbox external hard drive, On-the-Go Access to your Xbox Game Library, up to 130 MB/s, Includes 1 month Xbox Game Pass Ultimate","<a href=""https://www.amazon.co.uk/dp/B07VQ8Q3L4"">WD_BLACK P10 5TB Game Drive for Xbox, Xbox storage expansion, Portable Xbox external hard drive, On-the-Go Access to your Xbox Game Library, up to 130 MB/s, Includes 1 month Xbox Game Pass Ultimate</a>","<a href=""https://www.amazon.co.uk/dp/B07VQ8Q3L4"">WD_BLACK P10 5TB Game Drive for Xbox, Xbox storage expansion, Portable Xbox external hard drive, On-the-Go Access to your Xbox Game Library, up to 130 MB/s, Includes 1 month Xbox Game Pass Ultimate</a>"
£0.020,£20.06,£241,12 TB,3 years,"Internal 3.5""",HDD,Used,"WD Red Plus 12TB NAS 3.5"" Internal Hard Drive - 7200 RPM Class, SATA 6 Gb/s, CMR, 256MB Cache, 3 Year Warranty","<a href=""https://www.amazon.co.uk/dp/B08V1L1WYD"">WD Red Plus 12TB NAS 3.5"" Internal Hard Drive - 7200 RPM Class, SATA 6 Gb/s, CMR, 256MB Cache, 3 Year Warranty</a>","<a href=""https://www.amazon.co.uk/dp/B08V1L1WYD"">WD Red Plus 12TB NAS 3.5"" Internal Hard Drive - 7200 RPM Class, SATA 6 Gb/s, CMR, 256MB Cache, 3 Year Warranty</a>"
£0.020,£20.13,£101,5 TB,,"External 3.5""",HDD,Used,"Seagate Portable Drive, 5TB, External Hard Drive, Dark Grey, for PC Laptop and Mac, 2 year Rescue Services, Amazon Exclusive (STGX5000400)","<a href=""https://www.amazon.co.uk/dp/B07VS8QCXC"">Seagate Portable Drive, 5TB, External Hard Drive, Dark Grey, for PC Laptop and Mac, 2 year Rescue Services, Amazon Exclusive (STGX5000400)</a>","<a href=""https://www.amazon.co.uk/dp/B07VS8QCXC"">Seagate Portable Drive, 5TB, External Hard Drive, Dark Grey, for PC Laptop and Mac, 2 year Rescue Services, Amazon Exclusive (STGX5000400)</a>"
£0.020,£20.21,£101,5 TB,3 years,"External 3.5""",HDD,Used,"WD 5TB My Passport portable external storage, external hard drive, USB 3.0, portable HDD with software for device management, backup and password protection, works with PC, Xbox &Playstation, Black","<a href=""https://www.amazon.co.uk/dp/B07VP5X239"">WD 5TB My Passport portable external storage, external hard drive, USB 3.0, portable HDD with software for device management, backup and password protection, works with PC, Xbox &Playstation, Black</a>","<a href=""https://www.amazon.co.uk/dp/B07VP5X239"">WD 5TB My Passport portable external storage, external hard drive, USB 3.0, portable HDD with software for device management, backup and password protection, works with PC, Xbox &Playstation, Black</a>"
£0.020,£20.25,£81,4 TB,2 years,"Internal 3.5""",HDD,New,Seagate BarraCuda 4 TB Internal Hard Drive HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache for Computer Desktop PC Laptop (ST4000DM004),"<a href=""https://www.amazon.co.uk/dp/B0713R3Y6F"">Seagate BarraCuda 4 TB Internal Hard Drive HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache for Computer Desktop PC Laptop (ST4000DM004)</a>"
£0.020,£20.32,£163,8 TB,3 years,"Internal 3.5""",HDD,New,"Seagate Skyhawk 8 TB, Video Internal Hard HDD – 3.5"", SATA 6Gb/s, 256MB Cache, for DVR NVR Security Camera System, with in-house Rescue Services, FFP (ST8000VXZ10)","<a href=""https://www.amazon.co.uk/dp/B0BLT41GSM"">Seagate Skyhawk 8 TB, Video Internal Hard HDD – 3.5"", SATA 6Gb/s, 256MB Cache, for DVR NVR Security Camera System, with in-house Rescue Services, FFP (ST8000VXZ10)</a>"
£0.020,£20.37,£163,8 TB,1 years,"External 3.5""",HDD,New,"Seagate One Touch Hub, 8TB, External Hard Drive Desktop HDD – USB-C & USB 3.0 port, for Computer Desktop Workstation PC Laptop Mac, 6 Months DropBox Backup Plan & 6 Months Mylio Photos (STLC8000400)","<a href=""https://www.amazon.co.uk/dp/B093WZHS1G"">Seagate One Touch Hub, 8TB, External Hard Drive Desktop HDD – USB-C & USB 3.0 port, for Computer Desktop Workstation PC Laptop Mac, 6 Months DropBox Backup Plan & 6 Months Mylio Photos (STLC8000400)</a>"
£0.020,£20.37,£163,8 TB,3 years,"Internal 3.5""",HDD,New,"Seagate IronWolf, 8TB, Enterprise Internal NAS HDD - CMR 3.5 Inch, SATA 6GB/s, 5,400 RPM, 256 MB Cache for RAID NAS, Rescue Services - Frustration Free Packaging (ST8000VNZ02)","<a href=""https://www.amazon.co.uk/dp/B0BM4T2L86"">Seagate IronWolf, 8TB, Enterprise Internal NAS HDD - CMR 3.5 Inch, SATA 6GB/s, 5,400 RPM, 256 MB Cache for RAID NAS, Rescue Services - Frustration Free Packaging (ST8000VNZ02)</a>","<a href=""https://www.amazon.co.uk/dp/B0BM4T2L86"">Seagate IronWolf, 8TB, Enterprise Internal NAS HDD - CMR 3.5 Inch, SATA 6GB/s, 5,400 RPM, 256 MB Cache for RAID NAS, Rescue Services - Frustration Free Packaging (ST8000VNZ02)</a>"
£0.020,£20.46,£286,14 TB,3 years,"External 3.5""",HDD,New,"WD 14TB My Book external hard drive, Desktop HDD with Password Protection, USB 3.0, SuperSpeed USB, software for device management, backup, hardware encryption, works with PC and Mac, Black","<a href=""https://www.amazon.co.uk/dp/B07Y3JXGPL"">WD 14TB My Book external hard drive, Desktop HDD with Password Protection, USB 3.0, SuperSpeed USB, software for device management, backup, hardware encryption, works with PC and Mac, Black</a>","<a href=""https://www.amazon.co.uk/dp/B07Y3JXGPL"">WD 14TB My Book external hard drive, Desktop HDD with Password Protection, USB 3.0, SuperSpeed USB, software for device management, backup, hardware encryption, works with PC and Mac, Black</a>"
£0.021,£20.52,£164,8 TB,2 years,"Internal 3.5""",HDD,Used,"Seagate IronWolf, 8 TB, NAS, Internal Hard Drive, CMR, 3.5 Inch, SATA, 6GB/s, 5,400 RPM, 256MB Cache, for RAID Network Attached Storage, 3 year Rescue Services (ST8000VN004)","<a href=""https://www.amazon.co.uk/dp/B07SZVVBBK"">Seagate IronWolf, 8 TB, NAS, Internal Hard Drive, CMR, 3.5 Inch, SATA, 6GB/s, 5,400 RPM, 256MB Cache, for RAID Network Attached Storage, 3 year Rescue Services (ST8000VN004)</a>","<a href=""https://www.amazon.co.uk/dp/B07SZVVBBK"">Seagate IronWolf, 8 TB, NAS, Internal Hard Drive, CMR, 3.5 Inch, SATA, 6GB/s, 5,400 RPM, 256MB Cache, for RAID Network Attached Storage, 3 year Rescue Services (ST8000VN004)</a>"
£0.021,£20.53,£82,4 TB,3 years,"Internal 3.5""",HDD,Used,"Seagate IronWolf, 4TB, NAS, Internal Hard Drive, CMR, 3.5 Inch, SATA, 6GB/s, 5,400 RPM, 256MB Cache, for RAID Network Attached Storage, 3 year Rescue Services, FFP (ST4000VNZ06)","<a href=""https://www.amazon.co.uk/dp/B09NHV3CK9"">Seagate IronWolf, 4TB, NAS, Internal Hard Drive, CMR, 3.5 Inch, SATA, 6GB/s, 5,400 RPM, 256MB Cache, for RAID Network Attached Storage, 3 year Rescue Services, FFP (ST4000VNZ06)</a>","<a href=""https://www.amazon.co.uk/dp/B09NHV3CK9"">Seagate IronWolf, 4TB, NAS, Internal Hard Drive, CMR, 3.5 Inch, SATA, 6GB/s, 5,400 RPM, 256MB Cache, for RAID Network Attached Storage, 3 year Rescue Services, FFP (ST4000VNZ06)</a>"
£0.021,£20.65,£83,4 TB,2 years,"Internal 3.5""",HDD,New,"WD Red Plus 4TB NAS 3.5"" Internal Hard Drive - 5400 RPM Class, SATA 6 Gb/s, CMR, 256MB Cache, 3 Year Warranty","<a href=""https://www.amazon.co.uk/dp/B0BDXSK2K7"">WD Red Plus 4TB NAS 3.5"" Internal Hard Drive - 5400 RPM Class, SATA 6 Gb/s, CMR, 256MB Cache, 3 Year Warranty</a>","<a href=""https://www.amazon.co.uk/dp/B0BDXSK2K7"">WD Red Plus 4TB NAS 3.5"" Internal Hard Drive - 5400 RPM Class, SATA 6 Gb/s, CMR, 256MB Cache, 3 Year Warranty</a>"
£0.021,£20.73,£249,12 TB,1 year,"Internal 3.5""",HDD,New,"Seagate IronWolf Pro, 12 TB, NAS Internal Hard Drive, CMR 3.5 Inch, SATA 6 Gb/s 7,200 RPM, 256 MB Cache, for RAID Network Attached Storage, 3 years Rescue Services, FFP (ST12000NE0008)","<a href=""https://www.amazon.co.uk/dp/B07LH55GC2"">Seagate IronWolf Pro, 12 TB, NAS Internal Hard Drive, CMR 3.5 Inch, SATA 6 Gb/s 7,200 RPM, 256 MB Cache, for RAID Network Attached Storage, 3 years Rescue Services, FFP (ST12000NE0008)</a>"
£0.021,£20.76,£83,4 TB,2 years,"External 3.5""",HDD,Used,"Seagate Expansion Desktop 4TB, External Hard Drive, USB 3.0, 2 year Rescue Services (STKP4000400)","<a href=""https://www.amazon.co.uk/dp/B093BVXYSV"">Seagate Expansion Desktop 4TB, External Hard Drive, USB 3.0, 2 year Rescue Services (STKP4000400)</a>","<a href=""https://www.amazon.co.uk/dp/B093BVXYSV"">Seagate Expansion Desktop 4TB, External Hard Drive, USB 3.0, 2 year Rescue Services (STKP4000400)</a>"
£0.021,£20.78,£104,5 TB,3 years,"External 3.5""",HDD,Used,"Seagate One Touch, 5TB, Password activated hardware encryption, portable external hard drive, PC, Notebook & Mac, USB 3.0, Space Gray (STKZ5000404)","<a href=""https://www.amazon.co.uk/dp/B094R327VT"">Seagate One Touch, 5TB, Password activated hardware encryption, portable external hard drive, PC, Notebook & Mac, USB 3.0, Space Gray (STKZ5000404)</a>","<a href=""https://www.amazon.co.uk/dp/B094R327VT"">Seagate One Touch, 5TB, Password activated hardware encryption, portable external hard drive, PC, Notebook & Mac, USB 3.0, Space Gray (STKZ5000404)</a>"
£0.021,£20.78,£249,12 TB,5 years,"Internal 3.5""",HDD,New,"Toshiba 12TB Enterprise Internal Hard Drive – MG Series 3.5' SATA HDD Mainstream server and storage, 24/7 Reliable Operation, Hyperscale and cloud storage (MG08ACA16TE)","<a href=""https://www.amazon.co.uk/dp/B07DNVC4S6"">Toshiba 12TB Enterprise Internal Hard Drive – MG Series 3.5' SATA HDD Mainstream server and storage, 24/7 Reliable Operation, Hyperscale and cloud storage (MG08ACA16TE)</a>"
£0.021,£20.83,£250,12 TB,2 years,"External 3.5""",HDD,New,"WD 12 TB Elements Desktop External Hard Drive - USB 3.0, Black","<a href=""https://www.amazon.co.uk/dp/B07VXKF1L4"">WD 12 TB Elements Desktop External Hard Drive - USB 3.0, Black</a>","<a href=""https://www.amazon.co.uk/dp/B07VXKF1L4"">WD 12 TB Elements Desktop External Hard Drive - USB 3.0, Black</a>"
£0.021,£20.83,£250,12 TB,5 years,"Internal 3.5""",HDD,New,"Seagate Exos 12 TB Internal Hard Drive Enterprise HDD – 3.5 Inch 6 Gb/s 7200 RPM 128 MB Cache for Enterprise, Data Centre (ST12000NM0007)","<a href=""https://www.amazon.co.uk/dp/B0759Q9FXZ"">Seagate Exos 12 TB Internal Hard Drive Enterprise HDD – 3.5 Inch 6 Gb/s 7200 RPM 128 MB Cache for Enterprise, Data Centre (ST12000NM0007)</a>"
£0.021,£20.83,£750,18 TB x2,3 years,"External 3.5""",HDD,New,"WD 36TB My Book Duo Desktop HDD USB 3.1 Gen 1 with software for device management, backup and password protection USB-C and USB-A cables RAID 0/1, JBOD","<a href=""https://www.amazon.co.uk/dp/B08L979HLT"">WD 36TB My Book Duo Desktop HDD USB 3.1 Gen 1 with software for device management, backup and password protection USB-C and USB-A cables RAID 0/1, JBOD</a>"
£0.021,£20.88,£167,8 TB,2 years,"Internal 3.5""",HDD,New,"Seagate IronWolf, 8 TB, NAS, Internal Hard Drive, CMR, 3.5 Inch, SATA, 6GB/s, 5,400 RPM, 256MB Cache, for RAID Network Attached Storage, 3 year Rescue Services (ST8000VN004)","<a href=""https://www.amazon.co.uk/dp/B07SZVVBBK"">Seagate IronWolf, 8 TB, NAS, Internal Hard Drive, CMR, 3.5 Inch, SATA, 6GB/s, 5,400 RPM, 256MB Cache, for RAID Network Attached Storage, 3 year Rescue Services (ST8000VN004)</a>","<a href=""https://www.amazon.co.uk/dp/B07SZVVBBK"">Seagate IronWolf, 8 TB, NAS, Internal Hard Drive, CMR, 3.5 Inch, SATA, 6GB/s, 5,400 RPM, 256MB Cache, for RAID Network Attached Storage, 3 year Rescue Services (ST8000VN004)</a>"
£0.021,£20.99,£21,1 TB,1 year,"Internal 3.5""",HDD,New,"Bipra CCTV Camera CCTV System DVR NVR Sata Hard Drive 3.5"" SATA Surveillance Storage Hard Drive (1TB)","<a href=""https://www.amazon.co.uk/dp/B004ORCSSC"">Bipra CCTV Camera CCTV System DVR NVR Sata Hard Drive 3.5"" SATA Surveillance Storage Hard Drive (1TB)</a>"
£0.021,£21.00,£84,4 TB,5 years,"Internal 3.5""",HDD,New,Seagate 4 TB BarraCuda Internal Hard Drive,"<a href=""https://www.amazon.co.uk/dp/B07115ZSQ6"">Seagate 4 TB BarraCuda Internal Hard Drive</a>","<a href=""https://www.amazon.co.uk/dp/B07115ZSQ6"">Seagate 4 TB BarraCuda Internal Hard Drive</a>"
£0.021,£21.00,£84,4 TB,2 years,"Internal 3.5""",HDD,Used,"WD Red Plus 4TB NAS 3.5"" Internal Hard Drive - 5400 RPM Class, SATA 6 Gb/s, CMR, 256MB Cache, 3 Year Warranty","<a href=""https://www.amazon.co.uk/dp/B0BDXSK2K7"">WD Red Plus 4TB NAS 3.5"" Internal Hard Drive - 5400 RPM Class, SATA 6 Gb/s, CMR, 256MB Cache, 3 Year Warranty</a>","<a href=""https://www.amazon.co.uk/dp/B0BDXSK2K7"">WD Red Plus 4TB NAS 3.5"" Internal Hard Drive - 5400 RPM Class, SATA 6 Gb/s, CMR, 256MB Cache, 3 Year Warranty</a>"
£0.021,£21.00,£168,8 TB,2 years,"External 3.5""",HDD,New,"WD 8TB My Book external hard drive, Desktop HDD with Password Protection, USB 3.0, SuperSpeed USB, software for device management, backup, hardware encryption, works with PC and Mac, Black","<a href=""https://www.amazon.co.uk/dp/B01LWVT81X"">WD 8TB My Book external hard drive, Desktop HDD with Password Protection, USB 3.0, SuperSpeed USB, software for device management, backup, hardware encryption, works with PC and Mac, Black</a>","<a href=""https://www.amazon.co.uk/dp/B01LWVT81X"">WD 8TB My Book external hard drive, Desktop HDD with Password Protection, USB 3.0, SuperSpeed USB, software for device management, backup, hardware encryption, works with PC and Mac, Black</a>"
£0.021,£21.00,£210,10 TB,2 years,"External 3.5""",HDD,New,"WD 10TB Elements External Hard Drive, Desktop HDD storage, USB 3.0 compatible, Fast Transfer rates, Easy add on storage for all your pictures, videos, music and documents, Black","<a href=""https://www.amazon.co.uk/dp/B07G364YHX"">WD 10TB Elements External Hard Drive, Desktop HDD storage, USB 3.0 compatible, Fast Transfer rates, Easy add on storage for all your pictures, videos, music and documents, Black</a>","<a href=""https://www.amazon.co.uk/dp/B07G364YHX"">WD 10TB Elements External Hard Drive, Desktop HDD storage, USB 3.0 compatible, Fast Transfer rates, Easy add on storage for all your pictures, videos, music and documents, Black</a>"
£0.021,£21.09,£464,22 TB,,"External 3.5""",HDD,New,"WD 22TB My Book external hard drive, Desktop HDD with Password Protection, USB 3.0, SuperSpeed USB, software for device management, backup, hardware encryption, works with PC and Mac, Black","<a href=""https://www.amazon.co.uk/dp/B0BSFR3JCS"">WD 22TB My Book external hard drive, Desktop HDD with Password Protection, USB 3.0, SuperSpeed USB, software for device management, backup, hardware encryption, works with PC and Mac, Black</a>"
£0.021,£21.15,£106,5 TB,3 years,"External 3.5""",HDD,Used,"WD 5TB My Passport for Mac portable external storage, USB 3.0, Mac Compatible external hard drive, software for device management, backup and password protection, Time Machine Ready, Midnight Blue","<a href=""https://www.amazon.co.uk/dp/B07VX8HHFK"">WD 5TB My Passport for Mac portable external storage, USB 3.0, Mac Compatible external hard drive, software for device management, backup and password protection, Time Machine Ready, Midnight Blue</a>","<a href=""https://www.amazon.co.uk/dp/B07VX8HHFK"">WD 5TB My Passport for Mac portable external storage, USB 3.0, Mac Compatible external hard drive, software for device management, backup and password protection, Time Machine Ready, Midnight Blue</a>"
£0.021,£21.15,£85,4 TB,2 years,"External 3.5""",HDD,Used,"WD 4TB Elements External Hard Drive, Desktop HDD storage, USB 3.0 compatible, Fast Transfer rates, Easy add on storage for all your pictures, videos, music and documents, Black","<a href=""https://www.amazon.co.uk/dp/B00JT8AJZ0"">WD 4TB Elements External Hard Drive, Desktop HDD storage, USB 3.0 compatible, Fast Transfer rates, Easy add on storage for all your pictures, videos, music and documents, Black</a>","<a href=""https://www.amazon.co.uk/dp/B00JT8AJZ0"">WD 4TB Elements External Hard Drive, Desktop HDD storage, USB 3.0 compatible, Fast Transfer rates, Easy add on storage for all your pictures, videos, music and documents, Black</a>"
£0.021,£21.18,£106,5 TB,3 years,"External 3.5""",HDD,New,"WD 5TB My Passport portable external storage, external hard drive, USB 3.0, portable HDD with software for device management, backup and password protection, works with PC, Xbox &Playstation, Black","<a href=""https://www.amazon.co.uk/dp/B07VP5X239"">WD 5TB My Passport portable external storage, external hard drive, USB 3.0, portable HDD with software for device management, backup and password protection, works with PC, Xbox &Playstation, Black</a>","<a href=""https://www.amazon.co.uk/dp/B07VP5X239"">WD 5TB My Passport portable external storage, external hard drive, USB 3.0, portable HDD with software for device management, backup and password protection, works with PC, Xbox &Playstation, Black</a>"
£0.021,£21.25,£170,8 TB,2 years,"External 3.5""",HDD,New,"WD 8TB Elements External Hard Drive, Desktop HDD storage, USB 3.0 compatible, Fast Transfer rates, Easy add on storage for all your pictures, videos, music and documents, Black","<a href=""https://www.amazon.co.uk/dp/B07FNK6QMT"">WD 8TB Elements External Hard Drive, Desktop HDD storage, USB 3.0 compatible, Fast Transfer rates, Easy add on storage for all your pictures, videos, music and documents, Black</a>","<a href=""https://www.amazon.co.uk/dp/B07FNK6QMT"">WD 8TB Elements External Hard Drive, Desktop HDD storage, USB 3.0 compatible, Fast Transfer rates, Easy add on storage for all your pictures, videos, music and documents, Black</a>"
£0.021,£21.32,£53,25 GB x100,,Optical,BD-R,New,100 -Pack BD-R Disc Blu Ray 1-6 25GB Capacity 130 Minutes Inkjet Printable,"<a href=""https://www.amazon.co.uk/dp/B0DKCBBTB8"">100 -Pack BD-R Disc Blu Ray 1-6 25GB Capacity 130 Minutes Inkjet Printable</a>"
£0.021,£21.32,£171,8 TB,3 years,"External 3.5""",HDD,New,"Seagate Game Drive Hub, 8TB, External Hard Drive Desktop, USB 3.2 Gen 1, Dual USB-C and USB-A ports, Xbox Certified, with RGB LED lighting, 2 year Rescue Services (STKW8000402)","<a href=""https://www.amazon.co.uk/dp/B093WXL429"">Seagate Game Drive Hub, 8TB, External Hard Drive Desktop, USB 3.2 Gen 1, Dual USB-C and USB-A ports, Xbox Certified, with RGB LED lighting, 2 year Rescue Services (STKW8000402)</a>","<a href=""https://www.amazon.co.uk/dp/B093WXL429"">Seagate Game Drive Hub, 8TB, External Hard Drive Desktop, USB 3.2 Gen 1, Dual USB-C and USB-A ports, Xbox Certified, with RGB LED lighting, 2 year Rescue Services (STKW8000402)</a>"
£0.021,£21.40,£107,5 TB,,"External 3.5""",HDD,New,"Seagate Portable Drive, 5TB, External Hard Drive, Dark Grey, for PC Laptop and Mac, 2 year Rescue Services, Amazon Exclusive (STGX5000400)","<a href=""https://www.amazon.co.uk/dp/B07VS8QCXC"">Seagate Portable Drive, 5TB, External Hard Drive, Dark Grey, for PC Laptop and Mac, 2 year Rescue Services, Amazon Exclusive (STGX5000400)</a>","<a href=""https://www.amazon.co.uk/dp/B07VS8QCXC"">Seagate Portable Drive, 5TB, External Hard Drive, Dark Grey, for PC Laptop and Mac, 2 year Rescue Services, Amazon Exclusive (STGX5000400)</a>"
£0.022,£21.50,£86,4 TB,3 years,"Internal 3.5""",HDD,Used,"Seagate BarraCuda, 4TB, Internal Hard Drive, 3.5 Inch, SATA, 6GB/s, 5,400 RPM, 256MB Cache, for Computer Desktop PC, FFP (ST4000DMZ04)","<a href=""https://www.amazon.co.uk/dp/B07D9C7SQH"">Seagate BarraCuda, 4TB, Internal Hard Drive, 3.5 Inch, SATA, 6GB/s, 5,400 RPM, 256MB Cache, for Computer Desktop PC, FFP (ST4000DMZ04)</a>","<a href=""https://www.amazon.co.uk/dp/B07D9C7SQH"">Seagate BarraCuda, 4TB, Internal Hard Drive, 3.5 Inch, SATA, 6GB/s, 5,400 RPM, 256MB Cache, for Computer Desktop PC, FFP (ST4000DMZ04)</a>"
£0.022,£21.53,£108,5 TB,2 years,"External 2.5""",HDD,Used,"WD 5TB Elements portable external hard drive, USB 3.0 interface, portable external storage, Plug-and-Play, SuperSpeed USB 3.2 Gen 1, Formatted for PC and Mac, Black","<a href=""https://www.amazon.co.uk/dp/B07X41PWTY"">WD 5TB Elements portable external hard drive, USB 3.0 interface, portable external storage, Plug-and-Play, SuperSpeed USB 3.2 Gen 1, Formatted for PC and Mac, Black</a>","<a href=""https://www.amazon.co.uk/dp/B07X41PWTY"">WD 5TB Elements portable external hard drive, USB 3.0 interface, portable external storage, Plug-and-Play, SuperSpeed USB 3.2 Gen 1, Formatted for PC and Mac, Black</a>"
£0.022,£21.61,£108,5 TB,3 years,"External 3.5""",HDD,Used,"WD_BLACK P10 5TB Game Drive, portable HDD, works with Playstation, Xbox, PC, & Mac, save up to 125 games","<a href=""https://www.amazon.co.uk/dp/B07VNTFHD5"">WD_BLACK P10 5TB Game Drive, portable HDD, works with Playstation, Xbox, PC, & Mac, save up to 125 games</a>","<a href=""https://www.amazon.co.uk/dp/B07VNTFHD5"">WD_BLACK P10 5TB Game Drive, portable HDD, works with Playstation, Xbox, PC, & Mac, save up to 125 games</a>"
£0.022,£21.68,£477,22 TB,2 years,"Internal 3.5""",HDD,New,"WD Red Pro 22TB NAS 3.5"" Internal Hard Drive - 7200 RPM Class, SATA 6 Gb/s, CMR, 512MB Cache, 5 Year Warranty","<a href=""https://www.amazon.co.uk/dp/B0B5W1CQ8W"">WD Red Pro 22TB NAS 3.5"" Internal Hard Drive - 7200 RPM Class, SATA 6 Gb/s, CMR, 512MB Cache, 5 Year Warranty</a>"
