Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
"€0,005","€5,319",€96,18 TB,2 years,Tape,LTO-9,New,OT LTO-9 Data Cartridge Single with Limited,"<a href=""https://www.amazon.de/dp/B0BLF322YB"">OT LTO-9 Data Cartridge Single with Limited</a>"
"€0,006","€5,538",€66,12 TB,,Tape,LTO-8,Used,HPE Data Cart/LTO-8 Ultrium 30TB Worm,"<a href=""https://www.amazon.de/dp/B078KGVM84"">HPE Data Cart/LTO-8 Ultrium 30TB Worm</a>","<a href=""https://www.amazon.de/dp/B078KGVM84"">HPE Data Cart/LTO-8 Ultrium 30TB Worm</a>"
"€0,006","€5,825",€350,12 TB x5,2 years,Tape,LTO-8,New,TANDBERG - OVERLAND OT LTO-8 Data Cartridge 5PK W/BC with Limited Lifetime WARRA,"<a href=""https://www.amazon.de/dp/B0BLDVB2RP"">TANDBERG - OVERLAND OT LTO-8 Data Cartridge 5PK W/BC with Limited Lifetime WARRA</a>"
"€0,006","€6,104",€549,18 TB x5,2 years,Tape,LTO-9,New,TANDBERG - OVERLAND OT LTO-9 Data Cartridge 5PK W/BC with Limited Lifetime WARRA,"<a href=""https://www.amazon.de/dp/B0BLDXYW1T"">TANDBERG - OVERLAND OT LTO-9 Data Cartridge 5PK W/BC with Limited Lifetime WARRA</a>"
"€0,006","€6,126",€74,12 TB,2 years,Tape,LTO-8,New,TANDBERG - OVERLAND OT LTO-8 Data Cartridge Single with Limited,"<a href=""https://www.amazon.de/dp/B0BLFTHYDM"">TANDBERG - OVERLAND OT LTO-8 Data Cartridge Single with Limited</a>"
"€0,006","€6,268",€75,12 TB,,Tape,LTO-8,New,"IBM LTO8 Ultrium 12TB/30TB RW Data Cartridge, 01PL041","<a href=""https://www.amazon.de/dp/B079YLWNZ6"">IBM LTO8 Ultrium 12TB/30TB RW Data Cartridge, 01PL041</a>"
"€0,006","€6,358",€76,12 TB,,Tape,LTO-8,New,Lto Ultrium 8 Worm Datenkassette,"<a href=""https://www.amazon.de/dp/B077LS2Z2C"">Lto Ultrium 8 Worm Datenkassette</a>"
"€0,007","€6,611",€119,18 TB,,Tape,LTO-9,New,TANDBERG - OVERLAND LTO-9 Data Cartridge 18TB/45TB Pre-Labeled mit Case,"<a href=""https://www.amazon.de/dp/B09NXWYW2Y"">TANDBERG - OVERLAND LTO-9 Data Cartridge 18TB/45TB Pre-Labeled mit Case</a>"
"€0,008","€7,527",€135,18 TB,2 years,Tape,LTO-9,New,IBM LTO-9 Ultrium 18TB / 45TB Worm,"<a href=""https://www.amazon.de/dp/B09J92XYDJ"">IBM LTO-9 Ultrium 18TB / 45TB Worm</a>"
"€0,008","€7,632",€92,12 TB,,Tape,LTO-8,New,HPE Data Cart/LTO-8 Ultrium 30TB Worm,"<a href=""https://www.amazon.de/dp/B078KGVM84"">HPE Data Cart/LTO-8 Ultrium 30TB Worm</a>","<a href=""https://www.amazon.de/dp/B078KGVM84"">HPE Data Cart/LTO-8 Ultrium 30TB Worm</a>"
"€0,009","€9,179",€2.203,12 TB x20,,Tape,LTO-8,New,Quantum Ultrium 8 Library Pack 12000GB LTO 12000GB LTO 12000GB 30000 GB 2.5:1 rot 16-35°C,"<a href=""https://www.amazon.de/dp/B077LQSKT2"">Quantum Ultrium 8 Library Pack 12000GB LTO 12000GB LTO 12000GB 30000 GB 2.5:1 rot 16-35°C</a>"
