Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
A$0.108,A$108,A$216,2 TB,5 years,M.2,NVMe,New,Crucial T500 2TB PCIe Gen4 NVMe M.2 SSD with Heatsink,"<a href=""https://www.amazon.com.au/dp/B0CK2RKPBL"">Crucial T500 2TB PCIe Gen4 NVMe M.2 SSD with Heatsink</a>"
A$0.108,A$108,A$108,1 TB,,Internal,SSD,Used,"SAMSUNG SSD 870 EVO, 1 TB, Form Factor 2.5”, Intelligent Turbo Write, Magician 6 Software, Black (Internal SSD)","<a href=""https://www.amazon.com.au/dp/B08PC5DKZQ"">SAMSUNG SSD 870 EVO, 1 TB, Form Factor 2.5”, Intelligent Turbo Write, Magician 6 Software, Black (Internal SSD)</a>"
A$0.109,A$109,A$217,2 TB,3 years,External,SSD,New,"Seagate One Touch 2TB USB-C External Portable SSD with Rescue Data Recovery Services, Black","<a href=""https://www.amazon.com.au/dp/B08XKL34XB"">Seagate One Touch 2TB USB-C External Portable SSD with Rescue Data Recovery Services, Black</a>"
A$0.109,A$109,A$109,1 TB,,"Internal 3.5""",HDD,New,"Western Digital 1TB WD Purple Surveillance Internal Hard Drive HDD - SATA 6 Gb/s, 64 MB Cache, 3.5"" - WD11PURZ","<a href=""https://www.amazon.com.au/dp/B0CD2X2MTW"">Western Digital 1TB WD Purple Surveillance Internal Hard Drive HDD - SATA 6 Gb/s, 64 MB Cache, 3.5"" - WD11PURZ</a>"
A$0.109,A$109,A$109,1 TB,,M.2,NVMe,New,"GIGABYTE AORUS Gen4 7300 SSD 1TB PCIe 4.0 NVMe M.2 Internal Solid State Hard Drive with Read Speed Up to 7300MB/s, Write Speed Up to 6000MB/s, AG4731TB","<a href=""https://www.amazon.com.au/dp/B0C4BH2Z7D"">GIGABYTE AORUS Gen4 7300 SSD 1TB PCIe 4.0 NVMe M.2 Internal Solid State Hard Drive with Read Speed Up to 7300MB/s, Write Speed Up to 6000MB/s, AG4731TB</a>"
A$0.109,A$109,A$14,128 GB,,microSD,Flash,New,Patriot Memory A1 V30 MicroSD Memory Card 128GB Andriod Smartphone and Tablet Optimized Full HD & 4K PEF128GEP31MCX,"<a href=""https://www.amazon.com.au/dp/B07FKN4T4H"">Patriot Memory A1 V30 MicroSD Memory Card 128GB Andriod Smartphone and Tablet Optimized Full HD & 4K PEF128GEP31MCX</a>"
A$0.110,A$110,A$105,960 GB,3 years,Internal,SSD,New,"Kingston A400 SATA3 Solid State Drive, 960 GB","<a href=""https://www.amazon.com.au/dp/B079XC5PVV"">Kingston A400 SATA3 Solid State Drive, 960 GB</a>"
A$0.110,A$110,A$165,1.5 TB,,microSD,Flash,New,"SanDisk 1.5TB Ultra microSDXC UHS-I Memory Card with Adapter - Up to 150MB/s, C10, U1, Full HD, A1, MicroSD Card - SDSQUAC-1T50-GN6MA [New Version]","<a href=""https://www.amazon.com.au/dp/B0CJMRW771"">SanDisk 1.5TB Ultra microSDXC UHS-I Memory Card with Adapter - Up to 150MB/s, C10, U1, Full HD, A1, MicroSD Card - SDSQUAC-1T50-GN6MA [New Version]</a>"
A$0.110,A$110,A$110,1 TB,,M.2,NVMe,New,"fanxiang S660 1TB PCIe 4.0 NVMe SSD M.2 2280 Internal Solid State Drive - with Heatsink, Up to 5000MB/s, Perfectly Compatible with PS5, Dynamic SLC Cache","<a href=""https://www.amazon.com.au/dp/B0BNQ1NXC3"">fanxiang S660 1TB PCIe 4.0 NVMe SSD M.2 2280 Internal Solid State Drive - with Heatsink, Up to 5000MB/s, Perfectly Compatible with PS5, Dynamic SLC Cache</a>"
A$0.111,A$111,A$222,2 TB,5 years,"Internal 3.5""",HDD,New,Western Digital 2TB Gold Enterprise-Class Hard Drive - WD2005FBYZ,"<a href=""https://www.amazon.com.au/dp/B01IY9UTMM"">Western Digital 2TB Gold Enterprise-Class Hard Drive - WD2005FBYZ</a>"
