Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
"€0,038","€37,83",€227,6 TB,5 years,"Internal 3.5""",HDD,New,"WD Red Pro NAS de 3,5"" y 6 TB Disco Duro Interno - Clase de 7200 r. p. m., SATA de 6 GB/s, CMR y caché de 256 MB, Garantía de 5 años","<a href=""https://www.amazon.es/dp/B0D1V42F9B"">WD Red Pro NAS de 3,5"" y 6 TB Disco Duro Interno - Clase de 7200 r. p. m., SATA de 6 GB/s, CMR y caché de 256 MB, Garantía de 5 años</a>","<a href=""https://www.amazon.es/dp/B0D1V42F9B"">WD Red Pro NAS de 3,5"" y 6 TB Disco Duro Interno - Clase de 7200 r. p. m., SATA de 6 GB/s, CMR y caché de 256 MB, Garantía de 5 años</a>"
"€0,038","€38,00",€76,2 TB,3 years,"External 3.5""",HDD,New,"WD 2TB My Passport Portable HDD USB 3.0 with software for device management, backup and password protection - Black - Works with PC, Xbox and PS4","<a href=""https://www.amazon.es/dp/B07VTFN6HM"">WD 2TB My Passport Portable HDD USB 3.0 with software for device management, backup and password protection - Black - Works with PC, Xbox and PS4</a>","<a href=""https://www.amazon.es/dp/B07VTFN6HM"">WD 2TB My Passport Portable HDD USB 3.0 with software for device management, backup and password protection - Black - Works with PC, Xbox and PS4</a>"
"€0,038","€38,46",€77,2 TB,3 years,"External 3.5""",HDD,Used,"WD 2TB My Passport para Mac–Disco duro portátil, USB 3.0,con software para la gestión de dispositivos, preparado para Time Machine – Color Azul medianoche","<a href=""https://www.amazon.es/dp/B07VSPL8FJ"">WD 2TB My Passport para Mac–Disco duro portátil, USB 3.0,con software para la gestión de dispositivos, preparado para Time Machine – Color Azul medianoche</a>","<a href=""https://www.amazon.es/dp/B07VSPL8FJ"">WD 2TB My Passport para Mac–Disco duro portátil, USB 3.0,con software para la gestión de dispositivos, preparado para Time Machine – Color Azul medianoche</a>"
"€0,039","€38,84",€155,4 TB,,"External 3.5""",HDD,New,"LaCie Rugged USB-C, 4TB, disco duro externo portátil, para PC et Mac, Resistente a Golpes y caídas, incl. USB-C sin cable USB-A, 2 años Rescue Services (STFR4000800)","<a href=""https://www.amazon.es/dp/B01MSSJ32J"">LaCie Rugged USB-C, 4TB, disco duro externo portátil, para PC et Mac, Resistente a Golpes y caídas, incl. USB-C sin cable USB-A, 2 años Rescue Services (STFR4000800)</a>","<a href=""https://www.amazon.es/dp/B01MSSJ32J"">LaCie Rugged USB-C, 4TB, disco duro externo portátil, para PC et Mac, Resistente a Golpes y caídas, incl. USB-C sin cable USB-A, 2 años Rescue Services (STFR4000800)</a>"
"€0,039","€39,00",€39,1 TB,,"External 3.5""",HDD,Used,"Sonnics 1TB USB 3.1 Type C Externos Portátil Duros Discos por Ventanas PC, Mac, Smart TV, Xbox One/Serie X & PS4 /PS5, Morado","<a href=""https://www.amazon.es/dp/B0B3F97KFB"">Sonnics 1TB USB 3.1 Type C Externos Portátil Duros Discos por Ventanas PC, Mac, Smart TV, Xbox One/Serie X & PS4 /PS5, Morado</a>","<a href=""https://www.amazon.es/dp/B0B3F97KFB"">Sonnics 1TB USB 3.1 Type C Externos Portátil Duros Discos por Ventanas PC, Mac, Smart TV, Xbox One/Serie X & PS4 /PS5, Morado</a>"
"€0,039","€39,20",€196,5 TB,,"External 2.5""",HDD,New,"LaCie Rugged Mini, 5TB, disco duro externo portátil, para PC et Mac, Resistente a Golpes y caídas, 2 años Rescue Services (STJJ5000400)","<a href=""https://www.amazon.es/dp/B07WW1RJ9R"">LaCie Rugged Mini, 5TB, disco duro externo portátil, para PC et Mac, Resistente a Golpes y caídas, 2 años Rescue Services (STJJ5000400)</a>","<a href=""https://www.amazon.es/dp/B07WW1RJ9R"">LaCie Rugged Mini, 5TB, disco duro externo portátil, para PC et Mac, Resistente a Golpes y caídas, 2 años Rescue Services (STJJ5000400)</a>"
"€0,039","€39,33",€157,4 TB,,"External 3.5""",HDD,Used,"SanDisk Professional 4TB G-Drive ArmorATD, Dust, Drop, Shock and Water Resistant, Portable Rugged External HDD, Up to 130MB/s, USB-C (5Gbps), USB 3.2 Gen 1, Thunderbolt 3","<a href=""https://www.amazon.es/dp/B0C9YLX42J"">SanDisk Professional 4TB G-Drive ArmorATD, Dust, Drop, Shock and Water Resistant, Portable Rugged External HDD, Up to 130MB/s, USB-C (5Gbps), USB 3.2 Gen 1, Thunderbolt 3</a>","<a href=""https://www.amazon.es/dp/B0C9YLX42J"">SanDisk Professional 4TB G-Drive ArmorATD, Dust, Drop, Shock and Water Resistant, Portable Rugged External HDD, Up to 130MB/s, USB-C (5Gbps), USB 3.2 Gen 1, Thunderbolt 3</a>"
"€0,040","€39,50",€79,2 TB,1 years,"External 3.5""",HDD,Used,"Toshiba 2TB Canvio Basics Portable External Hard Drive, USB 3.2. Gen 1, Black (HDTB420EK3AA)","<a href=""https://www.amazon.es/dp/B07994QL95"">Toshiba 2TB Canvio Basics Portable External Hard Drive, USB 3.2. Gen 1, Black (HDTB420EK3AA)</a>","<a href=""https://www.amazon.es/dp/B07994QL95"">Toshiba 2TB Canvio Basics Portable External Hard Drive, USB 3.2. Gen 1, Black (HDTB420EK3AA)</a>"
"€0,040","€39,54",€79,2 TB,2 years,"External 2.5""",HDD,New,"Seagate Expansion, 2 TB, External Hard Drive HDD, 2.5 Inch, USB 3.0, PC & Notebook, 2 Years Rescue Services (STKM2000400)","<a href=""https://www.amazon.es/dp/B08ZJG6TVT"">Seagate Expansion, 2 TB, External Hard Drive HDD, 2.5 Inch, USB 3.0, PC & Notebook, 2 Years Rescue Services (STKM2000400)</a>"
"€0,040","€39,66",€79,2 TB,3 years,"External 3.5""",HDD,New,"WD 2 TB My Passport Portable HDD USB 3.0 with software for device management, backup and password protection - Red - Works with PC, Xbox and PS4","<a href=""https://www.amazon.es/dp/B07VTW2LQ5"">WD 2 TB My Passport Portable HDD USB 3.0 with software for device management, backup and password protection - Red - Works with PC, Xbox and PS4</a>"
"€0,040","€39,90",€40,1 TB,,"Internal 3.5""",HDD,Used,"Western Digital Disco Duro Interno Blue WD10EZEX 1TB 3,5 Pulgadas SATA 7200RPM 64MB (renovado)","<a href=""https://www.amazon.es/dp/B081QQXX3X"">Western Digital Disco Duro Interno Blue WD10EZEX 1TB 3,5 Pulgadas SATA 7200RPM 64MB (renovado)</a>"
"€0,040","€39,94",€320,8 TB,,"External 3.5""",HDD,New,"WD 8TB My Cloud Home - Disco duro mecánico, Almacenamiento en la nube personal, USB 3.0, Color Blanco/Gris","<a href=""https://www.amazon.es/dp/B074DXGB3V"">WD 8TB My Cloud Home - Disco duro mecánico, Almacenamiento en la nube personal, USB 3.0, Color Blanco/Gris</a>"
"€0,040","€40,00",€80,2 TB,,"Internal 3.5""",HDD,New,"Seagate BarraCuda, 2 TB, Disco duro interno, HDD, 2,5"" SATA 6 GB/s, 5400 RPM, caché de 128 MB para ordenador portátil y PC (ST2000LM015)","<a href=""https://www.amazon.es/dp/B01LXRWWB6"">Seagate BarraCuda, 2 TB, Disco duro interno, HDD, 2,5"" SATA 6 GB/s, 5400 RPM, caché de 128 MB para ordenador portátil y PC (ST2000LM015)</a>","<a href=""https://www.amazon.es/dp/B01LXRWWB6"">Seagate BarraCuda, 2 TB, Disco duro interno, HDD, 2,5"" SATA 6 GB/s, 5400 RPM, caché de 128 MB para ordenador portátil y PC (ST2000LM015)</a>"
"€0,040","€40,20",€80,2 TB,1 years,"External 3.5""",HDD,New,"Toshiba 2TB Canvio Basics Portable External Hard Drive, USB 3.2. Gen 1, Black (HDTB420EK3AA)","<a href=""https://www.amazon.es/dp/B07994QL95"">Toshiba 2TB Canvio Basics Portable External Hard Drive, USB 3.2. Gen 1, Black (HDTB420EK3AA)</a>","<a href=""https://www.amazon.es/dp/B07994QL95"">Toshiba 2TB Canvio Basics Portable External Hard Drive, USB 3.2. Gen 1, Black (HDTB420EK3AA)</a>"
"€0,041","€40,80",€82,2 TB,2 years,"External 3.5""",HDD,Used,"Seagate One Touch, 2 TB, con protteción de contraseña, disco duro externo portátil, PC, portátil y Mac, USB 3.0, Space Gray, incl. 2 años de Rescue Services (STKY2000404)","<a href=""https://www.amazon.es/dp/B094QZMM69"">Seagate One Touch, 2 TB, con protteción de contraseña, disco duro externo portátil, PC, portátil y Mac, USB 3.0, Space Gray, incl. 2 años de Rescue Services (STKY2000404)</a>","<a href=""https://www.amazon.es/dp/B094QZMM69"">Seagate One Touch, 2 TB, con protteción de contraseña, disco duro externo portátil, PC, portátil y Mac, USB 3.0, Space Gray, incl. 2 años de Rescue Services (STKY2000404)</a>"
"€0,041","€40,91",€82,2 TB,3 years,"External 3.5""",HDD,New,"WD 2TB My Passport para Mac–Disco duro portátil, USB 3.0,con software para la gestión de dispositivos, preparado para Time Machine – Color Azul medianoche","<a href=""https://www.amazon.es/dp/B07VSPL8FJ"">WD 2TB My Passport para Mac–Disco duro portátil, USB 3.0,con software para la gestión de dispositivos, preparado para Time Machine – Color Azul medianoche</a>","<a href=""https://www.amazon.es/dp/B07VSPL8FJ"">WD 2TB My Passport para Mac–Disco duro portátil, USB 3.0,con software para la gestión de dispositivos, preparado para Time Machine – Color Azul medianoche</a>"
"€0,041","€41,50",€166,4 TB,,"External 3.5""",HDD,New,"SanDisk Professional 4TB G-Drive ArmorATD, Dust, Drop, Shock and Water Resistant, Portable Rugged External HDD, Up to 130MB/s, USB-C (5Gbps), USB 3.2 Gen 1, Thunderbolt 3","<a href=""https://www.amazon.es/dp/B0C9YLX42J"">SanDisk Professional 4TB G-Drive ArmorATD, Dust, Drop, Shock and Water Resistant, Portable Rugged External HDD, Up to 130MB/s, USB-C (5Gbps), USB 3.2 Gen 1, Thunderbolt 3</a>","<a href=""https://www.amazon.es/dp/B0C9YLX42J"">SanDisk Professional 4TB G-Drive ArmorATD, Dust, Drop, Shock and Water Resistant, Portable Rugged External HDD, Up to 130MB/s, USB-C (5Gbps), USB 3.2 Gen 1, Thunderbolt 3</a>"
"€0,042","€41,69",€83,2 TB,,"External 2.5""",HDD,New,"Toshiba 2TB Canvio Flex Portable External Hard Drive for Mac, Windows PC and Tablet use, compatible with most USB-C and USB-A devices, Silver (HDTX120ESCAA)","<a href=""https://www.amazon.es/dp/B08J4B9WMC"">Toshiba 2TB Canvio Flex Portable External Hard Drive for Mac, Windows PC and Tablet use, compatible with most USB-C and USB-A devices, Silver (HDTX120ESCAA)</a>"
"€0,042","€41,75",€167,4 TB,,"Internal 3.5""",HDD,Used,"Seagate SkyHawk, 4 TB, Disco Duro Interno De Vigilancia, HDD, 3.5"" SATA 6 GB/s, Caché 256 MB, DVR, Sistema de cámaras de seguridad NVR y 3 años de servicios Rescue (ST4000VX016)","<a href=""https://www.amazon.es/dp/B09YNN2PKG"">Seagate SkyHawk, 4 TB, Disco Duro Interno De Vigilancia, HDD, 3.5"" SATA 6 GB/s, Caché 256 MB, DVR, Sistema de cámaras de seguridad NVR y 3 años de servicios Rescue (ST4000VX016)</a>","<a href=""https://www.amazon.es/dp/B09YNN2PKG"">Seagate SkyHawk, 4 TB, Disco Duro Interno De Vigilancia, HDD, 3.5"" SATA 6 GB/s, Caché 256 MB, DVR, Sistema de cámaras de seguridad NVR y 3 años de servicios Rescue (ST4000VX016)</a>"
"€0,042","€42,50",€85,2 TB,2 years,"External 3.5""",HDD,New,"Seagate One Touch, 2 TB, con protteción de contraseña, disco duro externo portátil, PC, portátil y Mac, USB 3.0, Space Gray, incl. 2 años de Rescue Services (STKY2000404)","<a href=""https://www.amazon.es/dp/B094QZMM69"">Seagate One Touch, 2 TB, con protteción de contraseña, disco duro externo portátil, PC, portátil y Mac, USB 3.0, Space Gray, incl. 2 años de Rescue Services (STKY2000404)</a>","<a href=""https://www.amazon.es/dp/B094QZMM69"">Seagate One Touch, 2 TB, con protteción de contraseña, disco duro externo portátil, PC, portátil y Mac, USB 3.0, Space Gray, incl. 2 años de Rescue Services (STKY2000404)</a>"
"€0,042","€42,50",€85,2 TB,,"External 3.5""",HDD,New,"Toshiba 2TB Canvio Gaming - Portable External Hard Drive compatible with most PlayStation, Xbox and PC consoles, USB 3.2. Gen 1 Technology, Black (HDTX120EK3AA)","<a href=""https://www.amazon.es/dp/B08J49VF2Z"">Toshiba 2TB Canvio Gaming - Portable External Hard Drive compatible with most PlayStation, Xbox and PC consoles, USB 3.2. Gen 1 Technology, Black (HDTX120EK3AA)</a>"
"€0,043","€43,00",€86,2 TB,,"External 3.5""",HDD,New,"Toshiba 2TB Canvio Ready - Disco Duro Externo Portátil de 2,5 Pulgadas con USB 3.2 Gen 1 de Alta Velocidad, Compatible con Microsoft Windows 7, 8 y 10, Negro (HDTB410EK3AA)","<a href=""https://www.amazon.es/dp/B08L72CVN3"">Toshiba 2TB Canvio Ready - Disco Duro Externo Portátil de 2,5 Pulgadas con USB 3.2 Gen 1 de Alta Velocidad, Compatible con Microsoft Windows 7, 8 y 10, Negro (HDTB410EK3AA)</a>"
"€0,043","€43,00",€129,3 TB,,"Internal 3.5""",HDD,Used,"Western Digital Red 3TB SATA 6 GB/s - Disco Duro (Serial ATA III, 3000 GB, 8,89 cm (3.5""), 0,6W, 4,4W, 4,4W)","<a href=""https://www.amazon.es/dp/B008P56QEQ"">Western Digital Red 3TB SATA 6 GB/s - Disco Duro (Serial ATA III, 3000 GB, 8,89 cm (3.5""), 0,6W, 4,4W, 4,4W)</a>","<a href=""https://www.amazon.es/dp/B008P56QEQ"">Western Digital Red 3TB SATA 6 GB/s - Disco Duro (Serial ATA III, 3000 GB, 8,89 cm (3.5""), 0,6W, 4,4W, 4,4W)</a>"
"€0,044","€43,84",€175,4 TB,,"Internal 3.5""",HDD,New,"Seagate IronWolf Pro, 4 TB, Enterprise HDD interno - CMR, 3,5 pulgadas, SATA a 6 Gb/s, 7200 RPM, caché de 256 MB para almacenamiento conectado a red RAID, servicios Rescue (ST4000NT001)","<a href=""https://www.amazon.es/dp/B0B94MX35D"">Seagate IronWolf Pro, 4 TB, Enterprise HDD interno - CMR, 3,5 pulgadas, SATA a 6 Gb/s, 7200 RPM, caché de 256 MB para almacenamiento conectado a red RAID, servicios Rescue (ST4000NT001)</a>"
"€0,044","€44,00",€88,2 TB,3 years,"Internal 3.5""",HDD,New,Western Digital WD20EFPX / 2 TB/Red Plus,"<a href=""https://www.amazon.es/dp/B0C4X31Q9F"">Western Digital WD20EFPX / 2 TB/Red Plus</a>","<a href=""https://www.amazon.es/dp/B0C4X31Q9F"">Western Digital WD20EFPX / 2 TB/Red Plus</a>"
"€0,044","€44,14",€88,2 TB,,"Internal 3.5""",HDD,Used,"Seagate Technology BarraCuda, 2 TB, Disco duro interno, HDD, 2,5"" SATA 6 GB/s, 5400 RPM, caché de 128 MB para ordenador portátil y PC, Paquete Abre-fácil (ST2000LMZ15)","<a href=""https://www.amazon.es/dp/B07D99S8Z7"">Seagate Technology BarraCuda, 2 TB, Disco duro interno, HDD, 2,5"" SATA 6 GB/s, 5400 RPM, caché de 128 MB para ordenador portátil y PC, Paquete Abre-fácil (ST2000LMZ15)</a>","<a href=""https://www.amazon.es/dp/B07D99S8Z7"">Seagate Technology BarraCuda, 2 TB, Disco duro interno, HDD, 2,5"" SATA 6 GB/s, 5400 RPM, caché de 128 MB para ordenador portátil y PC, Paquete Abre-fácil (ST2000LMZ15)</a>"
"€0,045","€44,64",€89,2 TB,,"External 2.5""",HDD,Used,"LaCie Rugged Mini, 2TB, disco duro externo portátil, para PC et Mac, Resistente a Golpes y caídas, 2 años Rescue Services (LAC9000298)","<a href=""https://www.amazon.es/dp/B00IRV005E"">LaCie Rugged Mini, 2TB, disco duro externo portátil, para PC et Mac, Resistente a Golpes y caídas, 2 años Rescue Services (LAC9000298)</a>","<a href=""https://www.amazon.es/dp/B00IRV005E"">LaCie Rugged Mini, 2TB, disco duro externo portátil, para PC et Mac, Resistente a Golpes y caídas, 2 años Rescue Services (LAC9000298)</a>"
"€0,045","€44,96",€45,1 TB,,"Internal 3.5""",HDD,Used,"Seagate Barracuda, 1 TB, Disco Duro Interno, HDD, 3,5"", SATA 6 GB/s, 7200 RPM, caché de 64 MB para Ordenador de sobremesa y PC, Paquete Abre-fácil (ST1000DMZ14)","<a href=""https://www.amazon.es/dp/B0BYT7BD4Y"">Seagate Barracuda, 1 TB, Disco Duro Interno, HDD, 3,5"", SATA 6 GB/s, 7200 RPM, caché de 64 MB para Ordenador de sobremesa y PC, Paquete Abre-fácil (ST1000DMZ14)</a>","<a href=""https://www.amazon.es/dp/B0BYT7BD4Y"">Seagate Barracuda, 1 TB, Disco Duro Interno, HDD, 3,5"", SATA 6 GB/s, 7200 RPM, caché de 64 MB para Ordenador de sobremesa y PC, Paquete Abre-fácil (ST1000DMZ14)</a>"
"€0,045","€45,12",€23,500 GB,,"Internal 2.5""",HDD,Used,"Toshiba MQ01ABD050 - Disco duro interno 2.5"" de 500 GB","<a href=""https://www.amazon.es/dp/B0077IQ0AM"">Toshiba MQ01ABD050 - Disco duro interno 2.5"" de 500 GB</a>","<a href=""https://www.amazon.es/dp/B0077IQ0AM"">Toshiba MQ01ABD050 - Disco duro interno 2.5"" de 500 GB</a>"
"€0,046","€45,58",€46,1 TB,,"Internal 3.5""",HDD,Used,"WD Blue 1TB para ordenadores de sobremesa. Disco duro interno 3.5"", 7200 RPM Class, SATA 6 GB/s, 64MB Cache, Garantía 2 años","<a href=""https://www.amazon.es/dp/B0088PUEPK"">WD Blue 1TB para ordenadores de sobremesa. Disco duro interno 3.5"", 7200 RPM Class, SATA 6 GB/s, 64MB Cache, Garantía 2 años</a>","<a href=""https://www.amazon.es/dp/B0088PUEPK"">WD Blue 1TB para ordenadores de sobremesa. Disco duro interno 3.5"", 7200 RPM Class, SATA 6 GB/s, 64MB Cache, Garantía 2 años</a>"
"€0,046","€45,80",€23,500 GB,,"Internal 3.5""",HDD,Used,"WD Blue Disco duro móvil interno de 500 GB (6 mm de altura 5400 rpm SATA 6 Gb / s 8 MB de caché 6,4 cm 2,5 pulgadas) Conforme a RoHS interno","<a href=""https://www.amazon.es/dp/B013QFRZL2"">WD Blue Disco duro móvil interno de 500 GB (6 mm de altura 5400 rpm SATA 6 Gb / s 8 MB de caché 6,4 cm 2,5 pulgadas) Conforme a RoHS interno</a>","<a href=""https://www.amazon.es/dp/B013QFRZL2"">WD Blue Disco duro móvil interno de 500 GB (6 mm de altura 5400 rpm SATA 6 Gb / s 8 MB de caché 6,4 cm 2,5 pulgadas) Conforme a RoHS interno</a>"
"€0,046","€45,80",€23,500 GB,,"Internal 2.5""",HDD,Used,"Toshiba MQ01ABF050 - Disco Duro Interno de 500 GB (5400 RPM, 2.5"", Serial ATA)","<a href=""https://www.amazon.es/dp/B00F60QH5G"">Toshiba MQ01ABF050 - Disco Duro Interno de 500 GB (5400 RPM, 2.5"", Serial ATA)</a>","<a href=""https://www.amazon.es/dp/B00F60QH5G"">Toshiba MQ01ABF050 - Disco Duro Interno de 500 GB (5400 RPM, 2.5"", Serial ATA)</a>"
"€0,046","€45,90",€23,500 GB,,"Internal 2.5""",HDD,New,"Toshiba MQ01ABD050 - Disco duro interno 2.5"" de 500 GB","<a href=""https://www.amazon.es/dp/B0077IQ0AM"">Toshiba MQ01ABD050 - Disco duro interno 2.5"" de 500 GB</a>","<a href=""https://www.amazon.es/dp/B0077IQ0AM"">Toshiba MQ01ABD050 - Disco duro interno 2.5"" de 500 GB</a>"
"€0,047","€46,70",€93,2 TB,,"External 2.5""",HDD,New,"LaCie Mobile Drive Moon, 2 TB, HDD portátil externa, Silver, USB-C 3.2, para PC y Mac, reciclado después del consumo con Adobe All Apps Plan y 3 años servicios Rescue (STLP2000400)","<a href=""https://www.amazon.es/dp/B09ZLTV28B"">LaCie Mobile Drive Moon, 2 TB, HDD portátil externa, Silver, USB-C 3.2, para PC y Mac, reciclado después del consumo con Adobe All Apps Plan y 3 años servicios Rescue (STLP2000400)</a>"
"€0,047","€46,84",€12,256 GB,,USB,Flash,New,"Intenso Speed Line - Memoria de 256 GB - Memoria USB 3.2 Gen 1x1, negra","<a href=""https://www.amazon.es/dp/B00YMZBOIQ"">Intenso Speed Line - Memoria de 256 GB - Memoria USB 3.2 Gen 1x1, negra</a>"
"€0,047","€47,40",€47,1 TB,,"External 3.5""",HDD,New,"Sonnics 1TB USB 3.0 Externos Portátil Duros Discos por Ventanas PC, Mac, Smart TV, Xbox One & PS4, Negro","<a href=""https://www.amazon.es/dp/B094MHVN6H"">Sonnics 1TB USB 3.0 Externos Portátil Duros Discos por Ventanas PC, Mac, Smart TV, Xbox One & PS4, Negro</a>"
"€0,048","€47,98",€24,500 GB,,"Internal 3.5""",HDD,Used,"WD WD5000AVDS - Disco Duro de 500 GB SATA 2, Color Gris","<a href=""https://www.amazon.es/dp/B002P3KO7O"">WD WD5000AVDS - Disco Duro de 500 GB SATA 2, Color Gris</a>","<a href=""https://www.amazon.es/dp/B002P3KO7O"">WD WD5000AVDS - Disco Duro de 500 GB SATA 2, Color Gris</a>"
"€0,048","€48,32",€48,1 TB,,"External 3.5""",HDD,New,"Sonnics 1TB USB 3.0 Externos Bolsillo Duros Discos por Ventanas PC, Mac, Xbox One and PS4, Blanco","<a href=""https://www.amazon.es/dp/B07FSNRY51"">Sonnics 1TB USB 3.0 Externos Bolsillo Duros Discos por Ventanas PC, Mac, Xbox One and PS4, Blanco</a>"
"€0,048","€48,32",€48,1 TB,,"External 3.5""",HDD,New,"Sonnics 1TB USB 3.1 Type C Externos Portátil Duros Discos por Ventanas PC, Mac, Smart TV, Xbox One/Serie X & PS4 /PS5, Morado","<a href=""https://www.amazon.es/dp/B0B3F97KFB"">Sonnics 1TB USB 3.1 Type C Externos Portátil Duros Discos por Ventanas PC, Mac, Smart TV, Xbox One/Serie X & PS4 /PS5, Morado</a>","<a href=""https://www.amazon.es/dp/B0B3F97KFB"">Sonnics 1TB USB 3.1 Type C Externos Portátil Duros Discos por Ventanas PC, Mac, Smart TV, Xbox One/Serie X & PS4 /PS5, Morado</a>"
"€0,048","€48,50",€97,2 TB,,"Internal 3.5""",HDD,New,"Seagate Technology BarraCuda, 2 TB, Disco duro interno, HDD, 2,5"" SATA 6 GB/s, 5400 RPM, caché de 128 MB para ordenador portátil y PC, Paquete Abre-fácil (ST2000LMZ15)","<a href=""https://www.amazon.es/dp/B07D99S8Z7"">Seagate Technology BarraCuda, 2 TB, Disco duro interno, HDD, 2,5"" SATA 6 GB/s, 5400 RPM, caché de 128 MB para ordenador portátil y PC, Paquete Abre-fácil (ST2000LMZ15)</a>","<a href=""https://www.amazon.es/dp/B07D99S8Z7"">Seagate Technology BarraCuda, 2 TB, Disco duro interno, HDD, 2,5"" SATA 6 GB/s, 5400 RPM, caché de 128 MB para ordenador portátil y PC, Paquete Abre-fácil (ST2000LMZ15)</a>"
"€0,049","€48,90",€49,1 TB,,"Internal 3.5""",HDD,New,"WD Blue 1TB para ordenadores de sobremesa. Disco duro interno 3.5"", 7200 RPM Class, SATA 6 GB/s, 64MB Cache, Garantía 2 años","<a href=""https://www.amazon.es/dp/B0088PUEPK"">WD Blue 1TB para ordenadores de sobremesa. Disco duro interno 3.5"", 7200 RPM Class, SATA 6 GB/s, 64MB Cache, Garantía 2 años</a>","<a href=""https://www.amazon.es/dp/B0088PUEPK"">WD Blue 1TB para ordenadores de sobremesa. Disco duro interno 3.5"", 7200 RPM Class, SATA 6 GB/s, 64MB Cache, Garantía 2 años</a>"
"€0,049","€49,00",€98,2 TB,,Internal,SSD,New,"Patriot P220 SSD 2TB SATA III Disco Sólido Interno 2.5""","<a href=""https://www.amazon.es/dp/B0BWRHR75Z"">Patriot P220 SSD 2TB SATA III Disco Sólido Interno 2.5""</a>"
"€0,049","€49,16",€98,2 TB,,Internal,SSD,New,"Emtec ECSSD2TX150 - Disco Duro SSD Interno (2,5"", SATA X150 Power Plus 3D NAND 2TB","<a href=""https://www.amazon.es/dp/B08NTFPCKY"">Emtec ECSSD2TX150 - Disco Duro SSD Interno (2,5"", SATA X150 Power Plus 3D NAND 2TB</a>"
"€0,049","€49,29",€49,1 TB,,"External 3.5""",HDD,New,"Maxone Disco Duro Externo portátil de 2,5"" Ultra Delgado USB 3.0 para Ordenador portátil/Escritorio/Xbox One/PS4 (1TB, Charcoal)","<a href=""https://www.amazon.es/dp/B07C812LHQ"">Maxone Disco Duro Externo portátil de 2,5"" Ultra Delgado USB 3.0 para Ordenador portátil/Escritorio/Xbox One/PS4 (1TB, Charcoal)</a>"
"€0,049","€49,49",€48,960 GB,,Internal,SSD,Used,"Kingston A400 SSD Disco duro sólido interno 2.5"" SATA Rev 3.0, 960GB - SA400S37/960G","<a href=""https://www.amazon.es/dp/B079XC5PVV"">Kingston A400 SSD Disco duro sólido interno 2.5"" SATA Rev 3.0, 960GB - SA400S37/960G</a>","<a href=""https://www.amazon.es/dp/B079XC5PVV"">Kingston A400 SSD Disco duro sólido interno 2.5"" SATA Rev 3.0, 960GB - SA400S37/960G</a>"
"€0,050","€50,00",€50,1 TB,,"External 3.5""",HDD,Used,"Seagate Basic portátil, 1 TB, Disco duro externo, HDD, USB 3.0 para PC, ordenador portátil (STJL1000400)","<a href=""https://www.amazon.es/dp/B081VGBGP5"">Seagate Basic portátil, 1 TB, Disco duro externo, HDD, USB 3.0 para PC, ordenador portátil (STJL1000400)</a>","<a href=""https://www.amazon.es/dp/B081VGBGP5"">Seagate Basic portátil, 1 TB, Disco duro externo, HDD, USB 3.0 para PC, ordenador portátil (STJL1000400)</a>"
"€0,050","€50,00",€50,1 TB,2 years,"Internal 2.5""",HDD,Used,"Toshiba 1TB 2.5'' - Disco Duro (SATA, 1000 GB, 6,35 cm (2.5""), 4,5W, 0,18W, 1,5W) Plata","<a href=""https://www.amazon.es/dp/B008YDNARU"">Toshiba 1TB 2.5'' - Disco Duro (SATA, 1000 GB, 6,35 cm (2.5""), 4,5W, 0,18W, 1,5W) Plata</a>","<a href=""https://www.amazon.es/dp/B008YDNARU"">Toshiba 1TB 2.5'' - Disco Duro (SATA, 1000 GB, 6,35 cm (2.5""), 4,5W, 0,18W, 1,5W) Plata</a>"
"€0,050","€50,00",€16,320 GB,,"Internal 2.5""",HDD,New,"Toshiba MQ01ABD032 - Disco Duro Interno 2.5"" de 320 GB","<a href=""https://www.amazon.es/dp/B0077IQ0ES"">Toshiba MQ01ABD032 - Disco Duro Interno 2.5"" de 320 GB</a>","<a href=""https://www.amazon.es/dp/B0077IQ0ES"">Toshiba MQ01ABD032 - Disco Duro Interno 2.5"" de 320 GB</a>"
"€0,050","€50,06",€50,1 TB,,Internal,SSD,New,"fanxiang S101 SSD 1TB- SATA III 6 GB/s, Disco Duro ssd 1tb, 2,5 Pulgadas-Velocidad de Lectura 550 MB/s, para Ordenadores de Escritorio y portátiles (Negro)","<a href=""https://www.amazon.es/dp/B09XDJ673F"">fanxiang S101 SSD 1TB- SATA III 6 GB/s, Disco Duro ssd 1tb, 2,5 Pulgadas-Velocidad de Lectura 550 MB/s, para Ordenadores de Escritorio y portátiles (Negro)</a>"
"€0,050","€50,40",€50,1 TB,,"Internal 2.5""",HDD,New,Intenso Disco Duro Externo 1TB 6021560 1TB,"<a href=""https://www.amazon.es/dp/B005S452WY"">Intenso Disco Duro Externo 1TB 6021560 1TB</a>"
"€0,051","€50,60",€25,500 GB,,"Internal 3.5""",HDD,New,"WD WD5000AVDS - Disco Duro de 500 GB SATA 2, Color Gris","<a href=""https://www.amazon.es/dp/B002P3KO7O"">WD WD5000AVDS - Disco Duro de 500 GB SATA 2, Color Gris</a>","<a href=""https://www.amazon.es/dp/B002P3KO7O"">WD WD5000AVDS - Disco Duro de 500 GB SATA 2, Color Gris</a>"
