Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
"€0,017","€17,14",€240,14 TB,,"Internal 3.5""",HDD,New,"ST14000NM001G - Disco duro (3,5"", SATA 6Gb/s, 14TB, 7200RPM, 512e/4Kn, para aplicaciones empresariales)","<a href=""https://www.amazon.es/dp/B084Z4LGN7"">ST14000NM001G - Disco duro (3,5"", SATA 6Gb/s, 14TB, 7200RPM, 512e/4Kn, para aplicaciones empresariales)</a>","<a href=""https://www.amazon.es/dp/B084Z4LGN7"">ST14000NM001G - Disco duro (3,5"", SATA 6Gb/s, 14TB, 7200RPM, 512e/4Kn, para aplicaciones empresariales)</a>"
"€0,017","€17,25",€345,20 TB,2 years,"External 3.5""",HDD,New,"WD Elements 20 TB Disco duro externo de escritorio, Compatibilidad USB 3.0, Plug-and-Play solución para un fácil almacenamiento adicional de tus fotos, música, vídeos y archivos importantes.","<a href=""https://www.amazon.es/dp/B09TYZCN61"">WD Elements 20 TB Disco duro externo de escritorio, Compatibilidad USB 3.0, Plug-and-Play solución para un fácil almacenamiento adicional de tus fotos, música, vídeos y archivos importantes.</a>"
"€0,018","€17,50",€105,6 TB,,"Internal 3.5""",HDD,Used,"Seagate ST6000NM0024 - Disco Duro Interno de 6 TB (SATA III, 3.5"")","<a href=""https://www.amazon.es/dp/B00J6ONE7W"">Seagate ST6000NM0024 - Disco Duro Interno de 6 TB (SATA III, 3.5"")</a>","<a href=""https://www.amazon.es/dp/B00J6ONE7W"">Seagate ST6000NM0024 - Disco Duro Interno de 6 TB (SATA III, 3.5"")</a>"
"€0,018","€17,61",€317,18 TB,,"Internal 3.5""",HDD,New,"Seagate Exos X18, 18 TB, Disco Duro Interno Enterprise Classe, SATA HDD, CMR 3,5"", Hyperscale SATA 6 GB/s, 7.200 RPM, 512e, 4 KB FastFormat (ST18000NM000J)","<a href=""https://www.amazon.es/dp/B08JV6PP9B"">Seagate Exos X18, 18 TB, Disco Duro Interno Enterprise Classe, SATA HDD, CMR 3,5"", Hyperscale SATA 6 GB/s, 7.200 RPM, 512e, 4 KB FastFormat (ST18000NM000J)</a>","<a href=""https://www.amazon.es/dp/B08JV6PP9B"">Seagate Exos X18, 18 TB, Disco Duro Interno Enterprise Classe, SATA HDD, CMR 3,5"", Hyperscale SATA 6 GB/s, 7.200 RPM, 512e, 4 KB FastFormat (ST18000NM000J)</a>"
"€0,018","€17,62",€352,20 TB,,Internal,SAS,Used,"Seagate Exos X20 de 20 TB, Unidad de Disco Duro SAS de 3,5 Pulgadas a 12 GB/s, 7.200 RPM, 2,5M MTBF, 512e y 4Kn FastFormat, Baja latencia con caché Mejorado (ST20000NM002D)","<a href=""https://www.amazon.es/dp/B09MWKN3RN"">Seagate Exos X20 de 20 TB, Unidad de Disco Duro SAS de 3,5 Pulgadas a 12 GB/s, 7.200 RPM, 2,5M MTBF, 512e y 4Kn FastFormat, Baja latencia con caché Mejorado (ST20000NM002D)</a>","<a href=""https://www.amazon.es/dp/B09MWKN3RN"">Seagate Exos X20 de 20 TB, Unidad de Disco Duro SAS de 3,5 Pulgadas a 12 GB/s, 7.200 RPM, 2,5M MTBF, 512e y 4Kn FastFormat, Baja latencia con caché Mejorado (ST20000NM002D)</a>"
"€0,018","€17,70",€354,20 TB,,"Internal 3.5""",HDD,New,"Toshiba MG10ACA20TE / 20TB / 3.5""","<a href=""https://www.amazon.es/dp/B0BMQWLCCM"">Toshiba MG10ACA20TE / 20TB / 3.5""</a>"
"€0,018","€18,36",€147,8 TB,3 years,"Internal 3.5""",HDD,Used,"Seagate, 8 TB, Disco duro interno, HDD, SATA, a red RAID, (ST8000VN004)","<a href=""https://www.amazon.es/dp/B07SZVVBBK"">Seagate, 8 TB, Disco duro interno, HDD, SATA, a red RAID, (ST8000VN004)</a>","<a href=""https://www.amazon.es/dp/B07SZVVBBK"">Seagate, 8 TB, Disco duro interno, HDD, SATA, a red RAID, (ST8000VN004)</a>"
"€0,018","€18,42",€147,8 TB,,"External 3.5""",HDD,Used,"Seagate Technology One Touch Hub, 8 TB, Unidad de disco duro externo, USB-C, USB 3.0, para ordenadores de sobremesa, portátiles y Mac (STLC8000400)","<a href=""https://www.amazon.es/dp/B093WZHS1G"">Seagate Technology One Touch Hub, 8 TB, Unidad de disco duro externo, USB-C, USB 3.0, para ordenadores de sobremesa, portátiles y Mac (STLC8000400)</a>","<a href=""https://www.amazon.es/dp/B093WZHS1G"">Seagate Technology One Touch Hub, 8 TB, Unidad de disco duro externo, USB-C, USB 3.0, para ordenadores de sobremesa, portátiles y Mac (STLC8000400)</a>"
"€0,018","€18,48",€74,4 TB,,"Internal 3.5""",HDD,Used,"Seagate IronWolf Pro, 4TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6GB/s, caché 256 MB, almacenamiento RAID, 3 años Rescue Services (ST4000NE001)","<a href=""https://www.amazon.es/dp/B07SY4T6F5"">Seagate IronWolf Pro, 4TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6GB/s, caché 256 MB, almacenamiento RAID, 3 años Rescue Services (ST4000NE001)</a>","<a href=""https://www.amazon.es/dp/B07SY4T6F5"">Seagate IronWolf Pro, 4TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6GB/s, caché 256 MB, almacenamiento RAID, 3 años Rescue Services (ST4000NE001)</a>"
"€0,018","€18,48",€74,4 TB,,"Internal 3.5""",HDD,Used,"Seagate IronWolf Pro, 4TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6 GB/s, caché 256 MB, almacenamiento RAID (ST4000NE001) (Reacondicionado)","<a href=""https://www.amazon.es/dp/B092MP3CDM"">Seagate IronWolf Pro, 4TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6 GB/s, caché 256 MB, almacenamiento RAID (ST4000NE001) (Reacondicionado)</a>"
